,Name,MRP,Discounted Price,Manufacturer
132,Biotrue Multi Purpose Solution 300 ml,600.00,534.00,Mkt: Bausch & Lomb India Private Limited
133,Buscogast Tablet 10's,40.39,35.14,Mkt: Sanofi India Limited
134,Baclof OD 30mg Tablet 10'S,435.00,356.70,Mkt: Intas Pharmaceuticals Ltd
135,Budetrol 400 Rotacap 30'S,268.80,220.42,Mkt: Macleods Pharmaceuticals Pvt Ltd
136,Bosentas 125mg Tablet 10'S,1495.20,1226.06,Mkt: Cipla Ltd
137,Baidyanath Mahamanjisthadi Kadha Blood Purifier 450 ml,250.00,237.50,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
138,Budecort 100 Inhaler 200Md,315.84,258.99,Mkt: Cipla Ltd
139,Brugel Gel 30gm,191.46,157.00,Mkt: Abbott India Ltd
140,Budate Forte Transpule 2ml,29.15,23.90,Mkt: Lupin Ltd
141,Betnovate GM Cream 20gm,41.15,33.74,Mkt: Glaxosmithkline Pharmaceuticals Ltd
142,B-Protin DF Powder - Dutch Chocolate 200 gm,350.00,311.50,Mkt: British Biologicals
143,Benadryl Cough Formula Syrup 50ml,72.00,64.80,Mkt: Johnson & Johnson Pvt Ltd
144,Betadine 5% Solution 500ml,240.80,197.46,Mkt: Win Medicare Pvt Ltd
145,Betnovate S Ointment 20gm,39.95,32.76,Mkt: Glaxosmithkline Pharmaceuticals Ltd
146,Biotique Bhringraj Anti Hair Fall Therapeutic Hair Oil 120ml,200.00,180.00,Mkt: Bio Veda Action Research Company
147,B-Protin Nutritional Powder Supplement - Chocolate 200 gm,270.00,245.70,Mkt: British Biologicals
148,Betavert OD 48mg Tablet 10'S,323.00,264.86,Mkt: Sun Pharmaceutical Industries Ltd
149,Baidyanath Chyawanprash Special 1 kg,395.00,375.25,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
150,Basaglar 100IU Cartridge 3ml,731.00,599.42,Mkt: Cipla Ltd
151,Baidyanath Chyawanprash Special 500 gm,190.00,180.50,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
152,Betabest AM 25mg Tablet 10'S,64.50,52.89,Mkt: Medley Pharmaceuticals Ltd
153,B-Protin Nutritional Powder Supplement - Mango 200 gm,270.00,237.60,Mkt: British Biologicals
154,Bacfen 10mg Tablet 10'S,122.00,100.04,Mkt: Icon Life Sciences
155,Boro Plus Healthy Skin Ayurvedic Antiseptic Cream 19 ml,42.00,,Mkt: Emami Ltd
156,Blonitas 4mg Tablet 10'S,111.00,91.02,Mkt: Intas Pharmaceuticals Ltd
157,Baidyanath Vita-Ex Gold Plus Capsule 20's,785.00,628.00,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
158,Bendex 400mg Tablet 1's,7.88,5.52,Mkt: Cipla Ltd
159,Betabrim Eye Drops 5ml,406.00,332.92,Mkt: Micro Labs Ltd
160,Bacstol 200mg Tablet 10'S,152.85,125.34,Mkt: Ipca Laboratories Ltd
161,Brimodin Eye Drops 5ml,303.55,248.91,Mkt: Cipla Ltd
162,Brufen 600mg Tablet 15'S,35.03,28.72,Mkt: Abbott India Ltd
163,Biomus 1mg Capsule 10'S,416.00,341.12,Mkt: Alniche Life Sciences Pvt Ltd
164,Biciphage 1000 Tablet 10'S,45.24,37.10,Mkt: Biochem Pharmaceutical Industries Ltd
165,BONEBASE PLUS Capsule 15's,324.00,265.68,Mkt: Pharmanova Specialties Pvt Ltd
166,Buta Proxyvon Capsule 10'S,73.00,59.86,Mkt: Dr. Reddy's Laboratories Ltd
167,Brite Lite Cream 20gm,340.00,278.80,Mkt: Wallace Pharmaceuticals Ltd
168,Budamate 100 Transcap 30'S,141.41,115.96,Mkt: Lupin Ltd
169,Bandy Plus Suspension 10ml,35.00,28.70,Mkt: Mankind Pharma Pvt Ltd
170,Bacfen 5mg Tablet 10'S,66.50,54.53,Mkt: Icon Life Sciences
171,Betapride 15mg Tablet 10'S,30.00,24.60,Mkt: Avinash Health Products Pvt Ltd
172,Baidyanath Sri Gopal Tel 10 ml,97.00,92.15,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
173,Bymet 500mg Tablet 10'S,23.69,19.43,Mkt: Primus Remedies Pvt Ltd
174,Bigomet M Tablet 10'S,79.00,64.78,Mkt: Aristo Pharmaceuticals Pvt Ltd
175,Boroline's Suthol Antiseptic Body Hygiene Liquid - Neem 100 ml,48.00,,Mkt: G D Pharmaceuticals Ltd.
176,BIOHOMIN Tablet 10's,214.00,175.48,Mkt: Icon Life Sciences
177,B Active CP Tablet 30'S,542.00,444.44,Mkt: Delvin Formulations Pvt Ltd
178,Brophyle 100mg Capsule 10'S,128.35,105.25,Mkt: Zuventus Healthcare Ltd
179,Biofer XT Tablet 10'S,117.00,95.94,Mkt: Micro Labs Ltd
180,B-Protin Nutritional Powder Supplement - Pineapple 200 gm,260.00,231.40,Mkt: British Biologicals
181,Betzee GM Cream 15gm,21.90,17.96,Mkt: Apex Laboratories Pvt Ltd
182,Bimat T Eye Drops 3ml,455.00,373.10,Mkt: Ajanta Pharma Ltd
183,Baidyanath Maha Bhringhraj Tel 200 ml,325.00,308.75,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
184,Beipos 10mg Tablet 10'S,159.00,130.38,Mkt: Lupin Ltd
185,Baidyanath Kesari Kalp Royal Prash 1 kg,740.00,703.00,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
186,Kids Pro Powder - Vanilla 500 gm,625.00,556.25,Mkt: British Biologicals
187,Becostar Tablet 15'S,101.00,82.82,Mkt: Linux Laboratories Pvt Ltd
188,Betoact Eye Drops 5ml,279.00,228.78,Mkt: Ajanta Pharma Ltd
189,Bestor 10mg Tablet 10'S,158.90,130.30,Mkt: Biocon Ltd
190,Biotrue Multi Purpose Solution 120 ml,330.00,280.50,Mkt: Bausch & Lomb India Private Limited
191,Betakind Mint Flavour Gargle 50ml,121.00,99.22,Mkt: Mankind Pharma Pvt Ltd
192,Baidyanath Chyawanprash Special 250 gm,115.00,109.25,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
193,BIS Beta 1.25mg Tablet 10'S,46.70,38.29,Mkt: Shrrishti Health Care Products Pvt Ltd
194,Blonitas 2mg Tablet 10'S,65.00,53.30,Mkt: Intas Pharmaceuticals Ltd
195,Bleminor Cream 30ml,190.00,155.80,Mkt: Himalaya Drug Company
196,Basalog 100IU Injection 1X5ml,783.13,642.17,Mkt: Biocon Ltd
197,Blisto Trio 1mg Tablet 10'S,84.30,69.13,Mkt: Biocon Ltd
198,Bizlo OD 20mg Tablet 10'S,170.93,143.58,Mkt: Torrent Pharmaceuticals Ltd
199,BRILANTE INTENSE BRIGHTENING Serum 50ml,689.00,564.98,Mkt: Regaliz Medicare Ltd
200,BENIFLO 4mg Tablet 15's,156.00,127.92,Mkt: Ajanta Pharma Ltd
201,Bexol DT Tablet 100'S,136.64,112.04,Mkt: Intas Pharmaceuticals Ltd
202,Budetrol 200 Inhaler 120md 1's,394.57,323.55,Mkt: Macleods Pharmaceuticals Pvt Ltd
203,Benfosules Capsule 10'S,299.30,245.43,Mkt: Emcure Pharmaceuticals Ltd
204,BILANTA 20mg Tablet 10's,134.50,110.29,Mkt: Ajanta Pharma Ltd
205,BILASHINE Tablet 10's,139.00,113.98,Mkt: Sun Pharmaceutical Industries Ltd
206,Bionect Ointment 15gm,176.00,144.32,Mkt: Macleods Pharmaceuticals Pvt Ltd
207,Bioderma Sebium Gel Moussant 100 ml,899.00,,Mkt: Naos Skin Care India Pvt Ltd
208,Baidyanath Maha Bhringhraj Tel 100 ml,179.00,170.05,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
209,Baidyanath Maharasnadi Kadha Syrup 450 ml,230.00,218.50,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
210,Bisocar 2.5mg Tablet 10'S,26.00,21.32,Mkt: Rusan Health Care Pvt Ltd
211,Bacloren 10mg Tablet 10'S,122.00,100.04,Mkt: La Renon Healthcare Pvt Ltd
212,Beens Mom Vanilla Powder 200gm,374.00,306.68,Mkt: Akesiss Pharma Pvt Ltd
213,Biotique Basil & Parsley Revitalizing Bathing Bar 75 gm,60.00,,Mkt: Bio Veda Action Research Company
214,Banjaras 15Minute Multani Mitti Face Pack Powder 100 gm,50.00,49.15,Mkt: Banjara Herbals Pvt Ltd
215,BYLOZA 20mg Tablet 10's,175.45,143.87,Mkt: Lupin Ltd
216,Broncorex Sugar Free Expectorant 100ml,128.25,105.17,Mkt: Pfizer Ltd
217,Bioderma Sebium Gel Moussant 200 ml,1799.00,,Mkt: Naos Skin Care India Pvt Ltd
218,Bromhexine Tablet 10'S,61.10,50.10,Mkt: Ipca Laboratories Ltd
219,B Liv Tablet 10'S,230.00,188.60,Mkt: Med Manor Organics Pvt Ltd
220,Bymet 1000mg Tablet 10'S,39.42,32.32,Mkt: Primus Remedies Pvt Ltd
221,BRILANTE INTENSE BRIGHTENING Serum 30ml,449.00,368.18,Mkt: Regaliz Medicare Ltd
222,Brimotas T Eye Drops 5ml,169.00,138.58,Mkt: Intas Pharmaceuticals Ltd
223,Burnheal Cream 15gm,90.14,63.10,Mkt: Cipla Ltd
224,Brophyle SR Tablet 10'S,225.45,184.87,Mkt: Zuventus Healthcare Ltd
225,BILAZEST 20mg Tablet 10's,179.68,147.34,Mkt: Abbott Healthcare Pvt Ltd
226,Baidyanath Drakshasava (Special) Liquid 300 ml,196.00,186.20,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
227,Bepride MF Tablet 10'S,77.00,63.14,Mkt: Avin Healthcare Pvt Ltd
228,Baidyanath Vita Ex Gold Capsules 20's,475.00,451.25,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
229,BILAGRA 20mg Tablet 10's,175.50,143.91,Mkt: Lupin Ltd
230,Beplex LZ Capsule 10'S,86.40,70.85,Mkt: Lupin Ltd
231,Baclof 25mg Tablet 10'S,335.00,274.70,Mkt: Intas Pharmaceuticals Ltd
232,Bizlo OD 30mg Tablet 10'S,367.40,301.27,Mkt: Torrent Pharmaceuticals Ltd
233,Biomyf 500mg Tablet 10'S,737.97,605.14,Mkt: Alniche Life Sciences Pvt Ltd
234,Bimat LS TM Eye Drops 3ml,293.00,240.26,Mkt: Ajanta Pharma Ltd
235,Betzee Cream 15gm,19.00,15.58,Mkt: Apex Laboratories Pvt Ltd
236,Banjaras Hair Care Powder -Amla 100 gm,80.00,76.00,Mkt: Banjara Herbals Pvt Ltd
237,Baidyanath Kasamrit (Herbal) Syrup 200 ml,215.00,204.25,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
238,Baidyanath Chyawanprash Special 2 kg,770.00,731.50,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
239,Beipos Eye Drops 5ml,278.05,228.00,Mkt: Lupin Ltd
