,Name,MRP,Discounted Price,Manufacturer
530,Bhandari Bach Flower Crab Apple 30 Liquid 30 ml,130.00,117.00,Mkt: Bhandari Homeopathic Laboratories
531,Bakson's Cineraria Euphrasia Eye Drops 10 ml,120.00,108.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
532,Bakson's Euphrasia Eye Drops 10 ml,90.00,81.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
533,Bjain Omeo Anaemia Syrup 200 ml,180.00,162.00,Mkt: Bjain Pharmaceuticals Pvt. Ltd
534,Bzon Forte Tablet 10'S,9.65,7.91,Mkt: Unison Pharmaceuticals Pvt Ltd
535,Bisocar 5mg Tablet 10'S,38.00,31.16,Mkt: Rusan Health Care Pvt Ltd
536,Bella Tampo (Super) 8's,95.00,85.50,Mkt: Bellapremier Happy Hygienecare Pvt Ltd
537,Basugine Pen(Device) 1's,999.00,819.18,Mkt: Lupin Ltd
538,Bodygard Pepper Spray 12 gm,499.00,424.15,Mkt: Midas Care Pharmaceuticals Pvt Ltd
539,Biotique Bio Pistachio Youthful Nourishing & Revitalizing Face Pack 50 gm,199.00,189.05,Mkt: Bio Veda Action Research Company
540,Bausch & Lomb iConnect Monthly Contact Lens - 3 Lens/Box (-1.75),359.00,287.20,Mkt: Bausch & Lomb India Private Limited
541,Bakson's Tonsil Aid Tablet 200's,500.00,450.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
542,Biotique Gold Radiance Facial 65 gm,320.00,,Mkt: Bio Veda Action Research Company
543,Bioforce Blooume 104 Bio Hair Tablet 30 gm,125.00,106.25,Mkt: Holistic Remedies Pvt. Ltd
544,Bakson's Pelvi Aid Tablet 75 gm,215.00,193.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
545,Bakson's Sept Aid Spray 100 ml,150.00,135.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
546,Bakson's Cream Bleach 30 gm,120.00,114.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
547,Bakson's Hair Aid Drops 30 ml,215.00,204.25,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
548,Bjain Omeo Sleep Drops 30 ml,160.00,144.00,Mkt: Bjain Pharmaceuticals Pvt. Ltd
549,Bactoclav DS 457mg Syrup 30ml,127.00,104.14,Mkt: Micro Labs Ltd
550,Bausch & Lomb SofLens 59 Monthly Contact Lens - 6 Lens/Box (-4.25),1499.00,1064.29,Mkt: Bausch & Lomb India Private Limited
551,Bjain Omeo Alfa and Ginseng Syrup 200 ml,175.00,157.50,Mkt: Bjain Pharmaceuticals Pvt. Ltd
552,Bioforce Blooume 2 Asthmasan Drops 30 ml,150.00,127.50,Mkt: Holistic Remedies Pvt. Ltd
553,"Bioforce Blooume 27 Hay, Pollen & Similar Allergies Drops 30 ml",165.00,140.25,Mkt: Holistic Remedies Pvt. Ltd
554,Bhandari Bach Flower Oak 30 Liquid 30 ml,110.00,99.00,Mkt: Bhandari Homeopathic Laboratories
555,Bhandari Bach Flower Olive 30 Liquid 30 ml,130.00,117.00,Mkt: Bhandari Homeopathic Laboratories
556,Bhandari Bach Flower Mustard 30 Liquid 30 ml,130.00,117.00,Mkt: Bhandari Homeopathic Laboratories
557,Bakson's Ruta Ointment 25 gm,70.00,63.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
558,Bjain Omeo Acidity Tablet 25 gm,155.00,139.50,Mkt: Bjain Pharmaceuticals Pvt. Ltd
559,Bjain Omeo Kalmegh Drops 30 ml,95.00,85.50,Mkt: Bjain Pharmaceuticals Pvt. Ltd
560,Bepride SF Tablet 10'S,66.00,54.12,Mkt: Avin Healthcare Pvt Ltd
561,Biomycetin Ear Drops 5ml,48.90,40.10,Mkt: Juggat Pharma
562,Budetrol 100 Inhaler 120md 1's,279.57,229.25,Mkt: Macleods Pharmaceuticals Pvt Ltd
563,Bioderma Cicabio Arnica+ Creme 40 ml,999.00,,Mkt: Naos Skin Care India Pvt Ltd
564,Bakson's Tonsil Aid tablet 75's,215.00,193.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
565,Bjain Omeo Alfa Alfa Malt Energy Booster 250 gm,200.00,180.00,Mkt: Bjain Pharmaceuticals Pvt. Ltd
566,Bioforce Blooume 7 Circulaforce Drops 30 ml,150.00,127.50,Mkt: Holistic Remedies Pvt. Ltd
567,Bioforce Booume 25 Migrainosan Drops 30 ml,150.00,127.50,Mkt: Holistic Remedies Pvt. Ltd
568,Bioforce Blooume 1 Arthritis Drops 30 ml,165.00,140.25,Mkt: Holistic Remedies Pvt. Ltd
569,Biohome Pyrocare Drops 30 ml,145.00,130.50,Mkt: Biohome Pharmacy
570,Bhandari Bach Flower Walnut 30 Liquid 30 ml,130.00,117.00,Mkt: Bhandari Homeopathic Laboratories
571,Bakson's Apis Mellifica Ointment 25 gm,70.00,63.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
572,Bakson's Belladonna Ointment 25 gm,75.00,67.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
573,Bakson's Honey and Almond Body Lotion 100 ml,120.00,114.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
574,Bjain Omeo Strength Syrup 100 ml,200.00,180.00,Mkt: Bjain Pharmaceuticals Pvt. Ltd
575,Bjain Omeo Verti-Gone Drops 30 ml,150.00,135.00,Mkt: Bjain Pharmaceuticals Pvt. Ltd
576,Bjain Omeo Spondyheal Drops 30 ml,165.00,148.50,Mkt: Bjain Pharmaceuticals Pvt. Ltd
577,Bausch & Lomb iConnect Monthly Contact Lens - 3 Lens/Box (-4.5),359.00,287.20,Mkt: Bausch & Lomb India Private Limited
578,Boiron Calcarea Phosphorica 200C Multi Dose PELLETS 4 GM,150.00,135.00,Mkt: Boiron Laboratories Pvt Ltd
579,Bioforce Blooume 14 Fever Care Drops 30 ml,150.00,127.50,Mkt: Holistic Remedies Pvt. Ltd
580,Bhandari Bach Flower Gorse 30 Liquid 30 ml,130.00,117.00,Mkt: Bhandari Homeopathic Laboratories
581,Bakson's Mig Aid Tablet 75 gm,200.00,180.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
582,Bakson's Papaya with Aloevera and Papaya Jojoba Oil Face Mask 150 gm,190.00,180.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
583,Bakson's B-Shape Cream 100 gm,330.00,297.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
584,Britvog 0.2mg Tablet 15'S,130.00,106.60,Mkt: Elbrit Life Sciences Pvt Ltd
585,Biogaracin 80mg Injection 2ml,10.43,8.55,Mkt: Cadila Healthcare Ltd (Zydus)
586,Bactoclav 375mg Tablet 10'S,200.00,164.00,Mkt: Micro Labs Ltd
587,Bausch & Lomb SofLens 59 Monthly Contact Lens - 6 Lens/Box (-2.5),1499.00,1064.29,Mkt: Bausch & Lomb India Private Limited
588,Bausch & Lomb SofLens 59 Monthly Contact Lens - 6 Lens/Box (-2.0),1499.00,1064.29,Mkt: Bausch & Lomb India Private Limited
589,Bausch & Lomb SofLens 59 Monthly Contact Lens - 6 Lens/Box (-5.25),1499.00,1064.29,Mkt: Bausch & Lomb India Private Limited
590,Boiron Graphites 30C Multi Dose PELLETS 4 GM,170.00,153.00,Mkt: Boiron Laboratories Pvt Ltd
591,Bjain Omeo Digestion Medicated Syrup 100 ml,105.00,94.50,Mkt: Bjain Pharmaceuticals Pvt. Ltd
592,Bioforce Blooume 24 Drops 30 ml,150.00,127.50,Mkt: Holistic Remedies Pvt. Ltd
593,Biohome Grotex Drops 40 ml,240.00,216.00,Mkt: Biohome Pharmacy
594,Bakson's Sinus Aid Tablet 75 gm,215.00,193.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
595,Bakson's Echinacea Ointment 25 gm,70.00,63.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
596,Bjain Omeo Cantharis Ointment 30 gm,60.00,54.00,Mkt: Bjain Pharmaceuticals Pvt. Ltd
597,Bjain Omeo Prostate Drops 30 ml,160.00,144.00,Mkt: Bjain Pharmaceuticals Pvt. Ltd
598,Baidyanath Ananta Salsa Syrup 220 ml,95.00,90.25,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
599,Biozobid Plus Tablet 10'S,179.34,147.06,Mkt: Abbott Healthcare Pvt Ltd
600,Belic Tablet 10'S,45.49,37.30,Mkt: Alchem Phytoceuticals Ltd
601,Baycip 250mg Tablet 10'S,21.95,18.00,Mkt: Bayer Zydus Pharma Pvt Ltd
602,Bactogard 100mg Dry Syrup 30ml,187.00,153.34,Mkt: Indoco Remedies Ltd
603,Bausch & Lomb SofLens 59 Monthly Contact Lens - 6 Lens/Box (-3.75),1499.00,1064.29,Mkt: Bausch & Lomb India Private Limited
604,Bausch & Lomb SofLens 59 Monthly Contact Lens - 6 Lens/Box (-3.25),1499.00,1064.29,Mkt: Bausch & Lomb India Private Limited
605,Bausch & Lomb SofLens 59 Monthly Contact Lens - 6 Lens/Box (-5.5),1499.00,1064.29,Mkt: Bausch & Lomb India Private Limited
606,Bausch & Lomb PureVision2 HD Monthly Contact Lens - 6 Lens/Box (-1.25),2450.00,1911.00,Mkt: Bausch & Lomb India Private Limited
607,Boiron Silicea 6C Multi Dose PELLETS 4 GM,170.00,153.00,Mkt: Boiron Laboratories Pvt Ltd
608,Bjain Omeo Alfa Alfa Malt Energy Booster 450 gm,340.00,289.00,Mkt: Bjain Pharmaceuticals Pvt. Ltd
609,Bioforce Blooume 17 Heart Care Gold Drops 30 ml,170.00,144.50,Mkt: Holistic Remedies Pvt. Ltd
610,Bioforce Blooume 10 skin problems Drops 30 ml,150.00,127.50,Mkt: Holistic Remedies Pvt. Ltd
611,Biohome Fregni Tone Drops 30 ml,240.00,216.00,Mkt: Biohome Pharmacy
612,Bhandari Bach Flower Vine 30 Liquid 30 ml,110.00,99.00,Mkt: Bhandari Homeopathic Laboratories
613,Bhandari Bach Flower Star Of Bethlehem 30 Liquid 30 ml,130.00,117.00,Mkt: Bhandari Homeopathic Laboratories
614,Bhandari Bach Flower Water Violet 30 Liquid 30 ml,110.00,99.00,Mkt: Bhandari Homeopathic Laboratories
615,Bhandari Bach Flower Chestnut Bud 30 Liquid 30 ml,130.00,117.00,Mkt: Bhandari Homeopathic Laboratories
616,Bakson's Urtica Urens Ointment 25 gm,70.00,63.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
617,Bakson's Acne Aid Cream and Tablet Kit,310.00,279.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
618,Bakson's Sun Care Cream 100 gm,270.00,256.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
619,Bakson's Boro Arnica Cream 25 gm,45.00,40.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
620,Bjain Omeo Flu Tablet 25 gm,140.00,126.00,Mkt: Bjain Pharmaceuticals Pvt. Ltd
621,Bjain Omeo Urtica Urens Ointment 30 gm,60.00,54.00,Mkt: Bjain Pharmaceuticals Pvt. Ltd
622,Bjain Omeo Strength Drops 30 ml,400.00,340.00,Mkt: Bjain Pharmaceuticals Pvt. Ltd
623,Bjain Omeo Haem Purifier Drops 30 ml,160.00,144.00,Mkt: Bjain Pharmaceuticals Pvt. Ltd
624,Bjain Omeo Ear Drops 15 ml,55.00,,Mkt: Bjain Pharmaceuticals Pvt. Ltd
625,Bandrone 6mg Injection 1's,2762.00,2264.84,Mkt: Natco Pharma Ltd
626,Bactogard 200mg Tablet 10'S,175.00,143.50,Mkt: Indoco Remedies Ltd
627,Bactoclav Dry Syrup 30ml,60.48,49.59,Mkt: Micro Labs Ltd
628,Banjaras Facial Kit - Pearl 60 gm,225.00,206.10,Mkt: Banjara Herbals Pvt Ltd
629,BONE C PLUS Capsule 15's,237.00,194.34,Mkt: WISCON PHARMACEUTICALS PVT LTD
630,Bausch & Lomb SofLens 59 Monthly Contact Lens - 6 Lens/Box (-4.5),1499.00,1064.29,Mkt: Bausch & Lomb India Private Limited
631,Bausch & Lomb SofLens 59 Monthly Contact Lens - 6 Lens/Box (-3.5),1499.00,1064.29,Mkt: Bausch & Lomb India Private Limited
632,Bausch & Lomb SofLens 59 Monthly Contact Lens - 6 Lens/Box (-3.0),1499.00,1064.29,Mkt: Bausch & Lomb India Private Limited
633,Bausch & Lomb SofLens 59 Monthly Contact Lens - 6 Lens/Box (-1.0),1499.00,1064.29,Mkt: Bausch & Lomb India Private Limited
634,Bausch & Lomb SofLens 59 Monthly Contact Lens - 6 Lens/Box (-6.0),1499.00,1064.29,Mkt: Bausch & Lomb India Private Limited
635,Bausch & Lomb SofLens 59 Monthly Contact Lens - 6 Lens/Box (-5.0),1499.00,1064.29,Mkt: Bausch & Lomb India Private Limited
636,BodyGuard - Baby Diapers and Sanitary Disposal Bag - 75 Bags,399.00,351.12,Mkt: Sirona Hygiene Private Limited
637,Boiron Pulsatilla 6C Multi Dose PELLETS 4 GM,170.00,153.00,Mkt: Boiron Laboratories Pvt Ltd
638,Belol XL 25mg Tablet 10'S,47.28,38.77,Mkt: East West Pharma
639,Bjain Omeo D-Fvr Plus Medicated Syrup 100 ml,110.00,99.00,Mkt: Bjain Pharmaceuticals Pvt. Ltd
640,Bjain Omeo Alfa Ginseng Sugar Free Syrup 200 ml,190.00,171.00,Mkt: Bjain Pharmaceuticals Pvt. Ltd
641,Bioforce Blooume 34 Appetite Booster Drops 30 ml,150.00,127.50,Mkt: Holistic Remedies Pvt. Ltd
642,Bioforce Blooume 6 cough Drops 30 ml,165.00,140.25,Mkt: Holistic Remedies Pvt. Ltd
643,Bioforce Blooume 28 Prosan Drops 30 ml,150.00,127.50,Mkt: Holistic Remedies Pvt. Ltd
644,Bhandari Bach Flower Willow 30 Liquid 30 ml,130.00,117.00,Mkt: Bhandari Homeopathic Laboratories
645,Bhandari Bach Flower Rock Water 30 Liquid 30 ml,110.00,99.00,Mkt: Bhandari Homeopathic Laboratories
646,Bhandari Bach Flower Scleranthus 30 Liquid 30 ml,130.00,117.00,Mkt: Bhandari Homeopathic Laboratories
647,Bakson's Gro Up Drops 30 ml,125.00,112.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
648,Bjain Omeo Dentition Tablet 25 gm,140.00,126.00,Mkt: Bjain Pharmaceuticals Pvt. Ltd
649,Bjain Omeo Digestion Syrup 100 ml,105.00,94.50,Mkt: Bjain Pharmaceuticals Pvt. Ltd
650,BodyGuard - Baby Diapers and Sanitary Disbosable Bags- 15's,99.00,,Mkt: Sirona Hygiene Private Limited
651,Bioclar Dry Syrup 30ml,138.09,113.23,Mkt: Cadila Healthcare Ltd (Zydus)
652,Bio-Essence Bio-Treatment Essence-In-Oil 60 ml,799.00,519.35,Mkt: Wipro Enterprises Pvt Ltd
653,Bio-Essence Bio-Vlift Face Lifting Cream 45 gm,2299.00,1494.35,Mkt: Wipro Enterprises Pvt Ltd
654,Bio-Essence Bio-Gold Day Cream 40 gm,1599.00,1039.35,Mkt: Wipro Enterprises Pvt Ltd
655,"Bio-Essence Bio-Gold Golden Skin Elixir, Bi-Phase Serum 30 gm",1749.00,1136.85,Mkt: Wipro Enterprises Pvt Ltd
656,Bio-Essence Bio-Gold Gold Water Essence 100 ml,1799.00,1169.35,Mkt: Wipro Enterprises Pvt Ltd
657,Bio-Essence Bio-Gold Radiance Cleanser 100 gm,499.00,324.35,Mkt: Wipro Enterprises Pvt Ltd
658,BILASHINE 40mg Tablet 10's,197.00,161.54,Mkt: Sun Pharmaceutical Industries Ltd
659,BIO D3 MOM Tablet 15's,229.90,188.52,Mkt: Macleods Pharmaceuticals Pvt Ltd
660,BRIMOEYE T Ophthalmic Solution 5ml,374.00,306.68,Mkt: Eyekare Kilitch Limited
661,BEKON C Cream 30gm,135.00,110.70,Mkt: Eskon Pharma
662,BYMULTITI GOLD Tablet 10's,299.00,245.18,Mkt: Byby Health Care
663,BELBACT Cream 10gm,98.22,80.54,Mkt: Bellissa Pharmaceuticals Pvt Ltd
664,BIOMUS 2 Capsule 10's,848.00,763.20,Mkt: Alniche Life Sciences Pvt Ltd
665,BRICAREX LS + Syrup 100ml,104.50,85.69,Mkt: Cadila Healthcare Ltd (Zydus)
666,BILASURE 40 Tablet 10's,197.00,161.54,Mkt: Sun Pharmaceutical Industries Ltd
667,Brillare Pure Coconut Oil 200 ml,595.00,,Mkt: Brillare Science Pvt. Ltd.
668,Brillare Pure Seasame Oil 200 ml,495.00,,Mkt: Brillare Science Pvt. Ltd.
669,Brillare Pure Castor Oil 200 ml,495.00,,Mkt: Brillare Science Pvt. Ltd.
670,BENZIN Gargle 100ml,86.00,70.52,Mkt: Med Manor Organics Pvt Ltd
671,Bao Health Drainable Fecal Collector (8202) 5's,7500.00,5550.00,Mkt: Kanav Healthcare Pvt Ltd
672,Bao Health Stoma Belt Ostomy Auxiliary (50100) (120 cm),667.00,493.58,Mkt: Kanav Healthcare Pvt Ltd
673,Bao Health Skin Protective Film (60320) 10's,1440.00,1065.60,Mkt: Kanav Healthcare Pvt Ltd
674,Bao Health Stoma Powder (6023) (30 gm) 1's,667.00,493.58,Mkt: Kanav Healthcare Pvt Ltd
675,Bao Health Protective Ring (60512) 10's,1440.00,1065.60,Mkt: Kanav Healthcare Pvt Ltd
676,Bao Health Stoma Paste (6012) (60 gm) 1's,907.00,671.18,Mkt: Kanav Healthcare Pvt Ltd
677,Bao Health Skin Barrier Sheet (5000012) (20 cm x 20 cm) 5's,4535.00,3355.90,Mkt: Kanav Healthcare Pvt Ltd
678,Bao Health Two Piece Open Ostomy Bag with Filter & Velcro Closure (2207008F) (70 mm) 20's,5820.00,4306.80,Mkt: Kanav Healthcare Pvt Ltd
679,Bao Health Skin Barrier Flange (3017001) (70 mm) 10's,4700.00,3478.00,Mkt: Kanav Healthcare Pvt Ltd
680,Bao Health Two Piece Urostomy Bag (4036001) (60 mm) 15's,4365.00,3230.10,Mkt: Kanav Healthcare Pvt Ltd
681,Bao Health Skin Barrier Flange Floating (3064501) (60 mm) 10's,4410.00,3263.40,Mkt: Kanav Healthcare Pvt Ltd
682,Bao Health Skin Barrier Flange (3016001) (60 mm) 10's,4410.00,3263.40,Mkt: Kanav Healthcare Pvt Ltd
683,Bao Health Two Piece Open Ostomy Bag with Filter & Velcro Closure (2145008F) (50 mm) 20's,5820.00,4306.80,Mkt: Kanav Healthcare Pvt Ltd
684,Bao Health Skin Barrier Flange (3015001) (50 mm) 10's,4410.00,3263.40,Mkt: Kanav Healthcare Pvt Ltd
685,Bao Health Skin Barrier Flange Convex (305570110C) (70 mm) 5's,3815.00,2823.10,Mkt: Kanav Healthcare Pvt Ltd
686,Bao Health Skin Barrier Flange Convex (306320110C) (60 mm) 5's,3375.00,2497.50,Mkt: Kanav Healthcare Pvt Ltd
687,Bao Health One Piece Open Ostomy Pouch with Filter Convex & Closure (1205700FC) (10 - 57 mm) 10's,7900.00,5846.00,Mkt: Kanav Healthcare Pvt Ltd
688,Bao Health One Piece Open Ostomy Pouch Convex & Velcro Closure (1143200FC) (10 - 32 mm) 10's,7600.00,5624.00,Mkt: Kanav Healthcare Pvt Ltd
689,Bao Health One Piece Classical Ostomy Pouch with Filter & Magical Closure (1155001F) (15 - 50 mm) 20's,7260.00,5372.40,Mkt: Kanav Healthcare Pvt Ltd
690,Bao Health Urostomy Pouch For One Piece (4025001U) (10 - 50 mm) 15's,5880.00,4351.20,Mkt: Kanav Healthcare Pvt Ltd
691,Bao Health One Piece Open Ostomy Pouch For Infant Velcro Closure (1213200FU) (5 - 32 mm) 20's,8960.00,6630.40,Mkt: Kanav Healthcare Pvt Ltd
692,Bao Health Post Operative Appliance One Piece with Two Side Non-Woven Cover - Transparent (12210204) (10 - 102 mm) 5's,8060.00,5964.40,Mkt: Kanav Healthcare Pvt Ltd
693,"Boro Plus Antiseptic Moisturising Soap - Neem, Tulsi & Aloe Vera (Pack of 6 x 125 gm)",378.00,226.80,Mkt: Emami Ltd
694,Boro Plus Body Gel - Aloe Vera 60 ml,50.00,45.00,Mkt: Emami Ltd
695,"Boro Plus Body Gel - Aloe Vera with Haldi, Chandan & Kesar 150 ml",120.00,103.20,Mkt: Emami Ltd
696,"Boro Plus Antiseptic Moisturising Soap - Neem, Eucalyptus & Honey (Pack of 6 x 125 gm)",378.00,226.80,Mkt: Emami Ltd
697,Bel Avenir Desire Men Perfume 100 ml,999.00,899.10,Mkt: Archies Limited
698,Beardo Peel off Face Mask -Activated Charcoal 100 ml,350.00,210.00,Mkt: Zed Lifestyle Pvt Ltd
699,BIGUARD Tablet 10's,50.00,41.00,Mkt: Berry & Herbs Pharma Pvt Ltd
700,BROZEET LS 1mg Syrup 100ml,118.90,97.50,Mkt: Alembic Pharmaceuticals Ltd
701,BRYDOQUIN Tablet 10's,140.00,114.80,Mkt: BRYDO HEALTHCARE
702,Bao Health One Piece Urostomy Bag (4016001) (15 - 60 mm) 15's,5925.00,4384.50,Mkt: Kanav Healthcare Pvt Ltd
703,Bao Health One Piece Ostomy Pouch with Filter (10910201F) (15 - 102 mm) (XXL) 20's,8340.00,6171.60,Mkt: Kanav Healthcare Pvt Ltd
704,Bao Health One Piece Open Ostomy Bag with Filter & Velcro Closure (1146008F) (15 - 60 mm) 20's,6260.00,4632.40,Mkt: Kanav Healthcare Pvt Ltd
705,Bao Health One Piece Open Ostomy Bag with Filter & Velcro Closure (1146001F) (15 - 60 mm) 20's,6260.00,4632.40,Mkt: Kanav Healthcare Pvt Ltd
706,Bao Health One Piece Ostomy Pouch with Filter (1117001F) (15 - 70 mm) 20's,5660.00,4188.40,Mkt: Kanav Healthcare Pvt Ltd
707,Bao Health One Piece Ostomy Pouch (102BNC) (15 - 60 mm) 20's,3000.00,2220.00,Mkt: Kanav Healthcare Pvt Ltd
708,BACLESTA OD 20 Tablet 10's,170.94,136.75,Mkt: Arinna Lifesciences Ltd
709,BACLESTA OD 30 Tablet 10's,256.07,230.46,Mkt: Arinna Lifesciences Ltd
710,BULARID L 40 Tablet 10's,192.45,157.81,Mkt: Ipca Laboratories Ltd
711,BIODENS HAIR Lotion 60ml,724.00,593.68,Mkt: Adonis Laboratories Pvt Ltd
712,Beurer Beauty Style Pro Curling Tongs (HT53),3999.00,,Mkt: Beurer India Pvt. Ltd.
713,Beurer Beauty Salon Pro System Hair Removal (IPL10000+),41200.00,,Mkt: Beurer India Pvt. Ltd.
714,Beurer Beauty Velvet Skin Pro Hair Removal (IPL8500),31500.00,,Mkt: Beurer India Pvt. Ltd.
715,Buerer Beauty Pure Skin Pro Hair Removal (IPL5500),11820.00,10165.20,Mkt: Beurer India Pvt. Ltd.
716,Beurer Beauty 3-in-1 Epilator (HL70),6930.00,,Mkt: Beurer India Pvt. Ltd.
717,Beurer Barbers Corner Rotary Shaver (HR8000),4550.00,,Mkt: Beurer India Pvt. Ltd.
718,Beurer Barbers Corner Foil Shaver (HR7000),4640.00,,Mkt: Beurer India Pvt. Ltd.
719,Beurer Barbers Corner Body Groomer (HR6000),4300.00,,Mkt: Beurer India Pvt. Ltd.
720,Beurer Barbers Corner Hair Clippers (HR5000),5050.00,,Mkt: Beurer India Pvt. Ltd.
721,Beurer Barbers Corner Beard Styler (HR4000),4290.00,4075.50,Mkt: Beurer India Pvt. Ltd.
722,Beurer Barbers Corner Precision Trimmer (HR2000),1630.00,1548.50,Mkt: Beurer India Pvt. Ltd.
723,Beurer Beauty Portable Pedicure Device (MP55),4900.00,,Mkt: Beurer India Pvt. Ltd.
724,Beurer Beauty Pureo Deep Clear Facial Brush (FC65),4640.00,4408.00,Mkt: Beurer India Pvt. Ltd.
725,Beurer Beauty Face Brush (FC49),3420.00,3249.00,Mkt: Beurer India Pvt. Ltd.
726,Beurer Beauty Face Brush (FC45),2330.00,2213.50,Mkt: Beurer India Pvt. Ltd.
727,Beurer Beauty Style Pro Hair Straightening Brush (HS60) - Black,3700.00,3515.00,Mkt: Beurer India Pvt. Ltd.
728,Beurer Beauty Style Pro Hair Dryer (HC25),2690.00,2555.50,Mkt: Beurer India Pvt. Ltd.
729,Beurer Beauty Style Pro Hair Dryer (HC55),4650.00,4417.50,Mkt: Beurer India Pvt. Ltd.
730,Beurer Beauty Style Pro Hair Dryer (HC80),5950.00,4284.00,Mkt: Beurer India Pvt. Ltd.
731,BENITAB 4 Tablet 10's,60.00,49.20,Mkt: ZENOLIA LIFESCIENCE PVT LTD
732,BIOTOUCH TOTAL Tablet 10's,200.00,164.00,Mkt: RHINE BIOGENICS PVT LTD
733,BISRED Tablet 10's,99.00,81.18,Mkt: Signorah Health Care
734,BRIMAZE T Ophthalmic Solution 10ml,460.00,377.20,Mkt: Aice Healh Care Pvt Ltd
735,BPHLO DS 8 Capsule 10's,324.00,265.68,Mkt: Renauxe Pharma India Pvt Ltd
736,BECOPIL Tablet 10's,54.00,44.28,Mkt: Exmo Biogenics Pvt Ltd
737,BACTOCEF Injection 1.5gm,240.00,196.80,Mkt: PHARMATECH INDIA
738,BACTOSUL Injection 1.5gm,125.00,102.50,Mkt: PHARMATECH INDIA
739,BOOMIT Tablet 10's,160.00,131.20,Mkt: Maaah Pharmaceuticals Pvt. Ltd
740,BOOMIT D Tablet 4's,300.00,246.00,Mkt: Maaah Pharmaceuticals Pvt. Ltd
741,BILAHIST M Tablet 10's,176.00,144.32,Mkt: Med Manor Organics Pvt Ltd
742,BIOKOF D Syrup 100ml,99.00,81.18,Mkt: Biovitamins Private Limited
743,BIOGERMINA Suspension 6X5ml,199.50,163.59,Mkt: Aristo Pharmaceuticals Pvt Ltd
744,BUDEPRL Respules 5X2ml,120.00,98.40,Mkt: Pristine Pearl Pharma Pvt Ltd
745,Broncho Rub Pain Relief Balm - Extra Strength (Pack of 10 X 3 ml),70.00,63.00,Mkt: IPI India Pvt Ltd
746,Broncho Rub Pain Relief Balm - Cool Relief (Pack of 10 X 3 ml),50.00,45.00,Mkt: IPI India Pvt Ltd
747,BELTAS FORTE Tablet 10's,190.00,155.80,Mkt: Glenmark Pharmaceuticals Ltd
748,BROBACT Ointment 5gm,100.00,82.00,Mkt: Icarus Health Care Pvt Ltd
749,BIOVIT OMEGA 369 Capsule 10's,99.00,81.18,Mkt: Biovitamins Private Limited
750,BIOVIT WOMAN Capsule 10's,180.00,147.60,Mkt: Biovitamins Private Limited
751,BISGLYCIN Capsule 10's,130.00,106.60,Mkt: Akesiss Pharma Pvt Ltd
752,BOLOFEN XL 10 Capsule 10's,123.90,99.12,Mkt: Crescent Therapeutics Ltd
753,BASAGLAR KWIKPEN Injection 3ml,1028.00,842.96,Mkt: Cipla Ltd
754,BASALOG REFILL INITIATION Kit 1's,3325.00,2726.50,Mkt: Biocon Ltd
755,Beardo Long Lasting No Gas Perfume Body Spray Most Wanted - Don 120ml,349.00,244.30,Mkt: Zed Lifestyle Pvt Ltd
756,Beardo Ball Sack Intimate Mist Spray 50 ml,399.00,319.20,Mkt: Zed Lifestyle Pvt Ltd
757,Beard Daily Repair Beard Oil - Hemp 30 ml,399.00,215.46,Mkt: Zed Lifestyle Pvt Ltd
758,BIFILAC Sachet 3's,52.50,43.05,Mkt: Tablets India Ltd
759,BSN Leukocrepe Cotton Crepe Bandage (15 cm x 4 mtr) 1's,543.00,390.96,Mkt: Essity India Private Limited
760,BSN Leukocrepe Cotton Crepe Bandage (10 cm x 4 mtr) 1's,403.00,270.01,Mkt: Essity India Private Limited
761,BSN Leukocrepe Cotton Crepe Bandage (6 cm x 4 mtr) 1's,260.00,174.20,Mkt: Essity India Private Limited
